Lambda,Error
0.006409,6307.495048
0.006418,6307.653253
0.006427,6307.812194
0.006436,6307.971864
0.006445,6308.132255
0.006454,6308.293357
0.006463,6308.455164
0.006472,6308.617666
0.006481,6308.780857
0.00649,6308.944732
0.006499,6309.109288
0.006508,6309.274521
0.006517,6309.44043
0.006526,6309.607017
0.006535,6309.774283
0.006544,6309.942229
0.006553,6310.110859
0.006562,6310.280176
0.006571,6310.450184
0.00658,6310.620885
0.006589,6310.792285
0.006598,6310.964387
0.006607,6311.137195
0.006616,6311.310711
0.006625,6311.484941
0.006634,6311.659886
0.006643,6311.83555
0.006652,6312.011936
0.006661,6312.189045
0.00667,6312.366881
0.006679,6312.545445
0.006688,6312.724739
0.006697,6312.904764
0.006706,6313.08552
0.006715,6313.267009
0.006724,6313.44923
0.006733,6313.632182
0.006742,6313.815866
0.006751,6314.000278
0.00676,6314.185419
0.006769,6314.371285
0.006778,6314.557875
0.006787,6314.745184
0.006796,6314.93321
0.006805,6315.121949
0.006814,6315.311397
0.006823,6315.501551
0.006832,6315.692407
0.006841,6315.883962
0.00685,6316.07621
0.006859,6316.269151
0.006868,6316.462779
0.006877,6316.657093
0.006886,6316.85209
0.006895,6317.047768
0.006904,6317.244126
0.006913,6317.441162
0.006922,6317.638875
0.006931,6317.837266
0.00694,6318.036333
0.006949,6318.236078
0.006958,6318.4365
0.006967,6318.637599
0.006976,6318.839377
0.006985,6319.041835
0.006994,6319.244972
0.007003,6319.448789
0.007012,6319.653289
0.007021,6319.85847
0.00703,6320.064334
0.007039,6320.270882
0.007048,6320.478113
0.007057,6320.686029
0.007066,6320.894629
0.007075,6321.103914
0.007084,6321.313883
0.007093,6321.524537
0.007102,6321.735875
0.007111,6321.947898
0.00712,6322.160604
0.007129,6322.373994
0.007138,6322.588068
0.007147,6322.802824
0.007156,6323.018263
0.007165,6323.234384
0.007174,6323.451187
0.007183,6323.668673
0.007192,6323.886839
0.007201,6324.105688
0.00721,6324.325218
0.007219,6324.545429
0.007228,6324.766322
0.007237,6324.987897
0.007246,6325.210155
0.007255,6325.433095
0.007264,6325.656718
0.007273,6325.881025
0.007282,6326.106017
0.007291,6326.331694
0.0073,6326.558057
0.007309,6326.785107
0.007318,6327.012845
0.007327,6327.241272
0.007336,6327.470388
0.007345,6327.700196
0.007354,6327.930695
0.007363,6328.161886
0.007372,6328.393772
0.007381,6328.626351
0.00739,6328.859625
0.007399,6329.093595
0.007408,6329.32826
0.007417,6329.563621
0.007426,6329.799677
0.007435,6330.036427
0.007444,6330.273872
0.007453,6330.51201
0.007462,6330.75084
0.007471,6330.99036
0.00748,6331.230567
0.007489,6331.471459
0.007498,6331.713034
0.007507,6331.955287
0.007516,6332.198216
0.007525,6332.441815
0.007534,6332.686081
0.007543,6332.93101
0.007552,6333.176595
0.007561,6333.422832
0.00757,6333.669715
0.007579,6333.91724
0.007588,6334.165399
0.007597,6334.414188
0.007606,6334.663601
0.007615,6334.913632
0.007624,6335.164275
0.007633,6335.415526
0.007642,6335.66738
0.007651,6335.91983
0.00766,6336.172874
0.007669,6336.426506
0.007678,6336.680722
0.007687,6336.93552
0.007696,6337.190896
0.007705,6337.446847
0.007714,6337.703372
0.007723,6337.960467
0.007732,6338.218133
0.007741,6338.476367
0.00775,6338.73517
0.007759,6338.99454
0.007768,6339.254479
0.007777,6339.514987
0.007786,6339.776065
0.007795,6340.037713
0.007804,6340.299935
0.007813,6340.562731
0.007822,6340.826103
0.007831,6341.090055
0.00784,6341.354589
0.007849,6341.619707
0.007858,6341.885413
0.007867,6342.15171
0.007876,6342.418602
0.007885,6342.686092
0.007894,6342.954184
0.007903,6343.222882
0.007912,6343.492189
0.007921,6343.76211
0.00793,6344.03265
0.007939,6344.303813
0.007948,6344.575602
0.007957,6344.848024
0.007966,6345.121082
0.007975,6345.394781
0.007984,6345.669127
0.007993,6345.944124
0.008002,6346.219777
0.008011,6346.496093
0.00802,6346.773076
0.008029,6347.050732
0.008038,6347.329066
0.008047,6347.608085
0.008056,6347.887795
0.008065,6348.168202
0.008074,6348.449311
0.008083,6348.731131
0.008092,6349.013667
0.008101,6349.296927
0.00811,6349.580918
0.008119,6349.865648
0.008128,6350.151123
0.008137,6350.437353
0.008146,6350.724345
0.008155,6351.012109
0.008164,6351.300653
0.008173,6351.589986
0.008182,6351.880118
0.008191,6352.17106
0.0082,6352.462822
0.008209,6352.755415
0.008218,6353.04885
0.008227,6353.343141
0.008236,6353.638299
0.008245,6353.934339
0.008254,6354.231274
0.008263,6354.52912
0.008272,6354.827892
0.008281,6355.127608
0.00829,6355.428285
0.008299,6355.729943
0.008308,6356.0326
0.008317,6356.33628
0.008326,6356.641003
0.008335,6356.946795
0.008344,6357.253681
0.008353,6357.561688
0.008362,6357.870845
0.008371,6358.181183
0.00838,6358.492734
0.008389,6358.805532
0.008398,6359.119614
0.008407,6359.435017
0.008416,6359.751784
0.008425,6360.069954
0.008434,6360.389575
0.008443,6360.71069
0.008452,6361.03335
0.008461,6361.357605
0.00847,6361.683505
0.008479,6362.011104
0.008488,6362.340456
0.008497,6362.671615
0.008506,6363.004634
0.008515,6363.339565
0.008524,6363.676456
0.008533,6364.015349
0.008542,6364.356278
0.008551,6364.699262
0.00856,6365.044297
0.008569,6365.391343
0.008578,6365.740298
0.008587,6366.090951
0.008596,6366.44289
0.008605,6366.79529
0.008614,6367.146421
0.008623,6367.492324
0.008632,6367.823064
0.008641,6368.112986
0.00865,6368.318833
0.008659,6368.483252
0.008668,6368.730378
0.008677,6369.051036
0.008686,6369.404604
0.008695,6369.772613
0.008704,6370.14778
0.008713,6370.526878
0.008722,6370.908184
0.008731,6371.290561
0.00874,6371.673085
0.008749,6372.054885
0.008758,6372.43507
0.008767,6372.812737
0.008776,6373.187057
0.008785,6373.557483
0.008794,6373.924044
0.008803,6374.287628
0.008812,6374.650043
0.008821,6375.013782
0.00883,6375.381585
0.008839,6375.755993
0.008848,6376.139023
0.008857,6376.531997
0.008866,6376.93555
0.008875,6377.349735
0.008884,6377.77418
0.008893,6378.208228
0.008902,6378.651034
0.008911,6379.101615
0.00892,6379.558859
0.008929,6380.021519
0.008938,6380.488183
0.008947,6380.957241
0.008956,6381.426831
0.008965,6381.894792
0.008974,6382.358599
0.008983,6382.815335
0.008992,6383.261735
0.009001,6383.694439
0.00901,6384.110541
0.009019,6384.508357
0.009028,6384.88798
0.009037,6385.251179
0.009046,6385.600719
0.009055,6385.939608
0.009064,6386.270631
0.009073,6386.59617
0.009082,6386.918197
0.009091,6387.23833
0.0091,6387.557895
0.009109,6387.87798
0.009118,6388.199482
0.009127,6388.523141
0.009136,6388.849565
0.009145,6389.179255
0.009154,6389.512627
0.009163,6389.850029
0.009172,6390.191754
0.009181,6390.538058
0.00919,6390.889165
0.009199,6391.245279
0.009208,6391.606588
0.009217,6391.97327
0.009226,6392.345496
0.009235,6392.723428
0.009244,6393.107226
0.009253,6393.497041
0.009262,6393.893019
0.009271,6394.2953
0.00928,6394.704012
0.009289,6395.119272
0.009298,6395.541184
0.009307,6395.969832
0.009316,6396.405278
0.009325,6396.847555
0.009334,6397.296661
0.009343,6397.752545
0.009352,6398.215103
0.009361,6398.684157
0.00937,6399.159439
0.009379,6399.640571
0.009388,6400.127041
0.009397,6400.618177
0.009406,6401.113115
0.009415,6401.61077
0.009424,6402.1098
0.009433,6402.608566
0.009442,6403.105103
0.009451,6403.597084
0.00946,6404.081814
0.009469,6404.556236
0.009478,6405.016978
0.009487,6405.460444
0.009496,6405.88287
0.009505,6406.279842
0.009514,6406.642182
0.009523,6406.946779
0.009532,6407.196644
0.009541,6407.416867
0.00955,6407.617382
0.009559,6407.802879
0.009568,6407.976779
0.009577,6408.141976
0.009586,6408.300973
0.009595,6408.455934
0.009604,6408.608699
0.009613,6408.76081
0.009622,6408.913538
0.009631,6409.067909
0.00964,6409.224739
0.009649,6409.384658
0.009658,6409.548136
0.009667,6409.715513
0.009676,6409.887013
0.009685,6410.062768
0.009694,6410.242833
0.009703,6410.427198
0.009712,6410.615801
0.009721,6410.808538
0.00973,6411.005269
0.009739,6411.205824
0.009748,6411.410009
0.009757,6411.617609
0.009766,6411.828386
0.009775,6412.042083
0.009784,6412.258422
0.009793,6412.477103
0.009802,6412.697803
0.009811,6412.920176
0.00982,6413.143866
0.009829,6413.36852
0.009838,6413.593817
0.009847,6413.819508
0.009856,6414.045446
0.009865,6414.271608
0.009874,6414.498088
0.009883,6414.725069
0.009892,6414.952793
0.009901,6415.181535
0.00991,6415.411591
0.009919,6415.643286
0.009928,6415.876989
0.009937,6416.113148
0.009946,6416.352333
0.009955,6416.595305
0.009964,6416.843102
0.009973,6417.09714
0.009982,6417.359312
0.009991,6417.631973
